I
640 Version - Iran FIR custom airways (from AIP, generated)
GETOB  37.207500   46.858056 AMBEX  37.065556   47.361944 1 160 170 G208
AMBEX  37.065556   47.361944 ZAJ    36.779444   48.353056 1 160 170 G208
ZAJ    36.779444   48.353056 LOXUB  36.611111   48.828333 1 160 600 G208
LOXUB  36.611111   48.828333 PAROT  36.191111   49.978056 1 180 600 G208
PAROT  36.191111   49.978056 GOLNU  35.953056   50.347778 1 130 140 G208
GOLNU  35.953056   50.347778 VEBER  35.702500   50.733333 1 130 140 G208
VEBER  35.702500   50.733333 IKA    35.409444   51.178333 1 210 220 G208
IKA    35.409444   51.178333 ELEDI  35.026667   52.065556 1 210 220 G208
ELEDI  35.026667   52.065556 RADAL  34.906389   52.339722 1 210 220 G208
RADAL  34.906389   52.339722 ROVAD  33.525278   53.877778 1 130 140 G208
ROVAD  33.525278   53.877778 NODLA  32.891667   54.980556 1 130 140 G208
NODLA  32.891667   54.980556 SOGOT  32.668889   55.394167 1 110 120 G208
SOGOT  32.668889   55.394167 NIVRA  31.984722   56.636111 1 110 120 G208
NIVRA  31.984722   56.636111 DAR    31.783056   56.994444 1 110 120 G208
DAR    31.783056   56.994444 BOPAG  30.736944   58.824722 1 110 120 G208
BOPAG  30.736944   58.824722 TOVUS  30.111944   59.876389 1 110 120 G208
TOVUS  30.111944   59.876389 DAPAP  29.775000   60.431667 1 110 120 G208
DAPAP  29.775000   60.431667 ZDN    29.486667   60.901389 1 110 120 G208
ZDN    29.486667   60.901389 OBSEL  29.118333   61.288056 1 150 160 G208
OBSEL  29.118333   61.288056 KEBUD  27.597778   62.840000 1 170 180 G208
SYZ    29.540000   52.588611 NALBI  29.780556   53.899167 1 190 600 G452
NALBI  29.780556   53.899167 RIKAS  29.893611   54.540000 1 190 600 G452
RIKAS  29.893611   54.540000 DAVUT  30.037222   55.383611 1 190 600 G452
DAVUT  30.037222   55.383611 GETIS  30.195833   56.373889 1 190 600 G452
GETIS  30.195833   56.373889 KER    30.282778   56.942222 1 190 600 G452
KER    30.282778   56.942222 ALKES  30.179167   57.506944 1 190 600 G452
ALKES  30.179167   57.506944 ORDAD  30.102222   57.915000 1 190 600 G452
ORDAD  30.102222   57.915000 SILKO  29.932778   58.693889 1 190 600 G452
SILKO  29.932778   58.693889 ITBIR  29.607778   60.341667 1 170 600 G452
ITBIR  29.607778   60.341667 ZDN    29.486667   60.901389 1 170 600 G452
ZDN    29.486667   60.901389 DERBO  29.428333   61.283611 1 120 600 G452
TBZ    38.148056   46.212778 PAPOK  38.744167   46.351389 1 200 600 G482
PAPOK  38.744167   46.351389 MAGRI  38.902222   46.383333 1 200 600 G482
MSD    36.231111   59.650556 RAMIL  35.485833   58.828056 1 190 600 G663
RAMIL  35.485833   58.828056 TASLU  34.425278   57.691944 1 130 600 G663
TASLU  34.425278   57.691944 PATEN  34.140278   57.392778 1 130 600 G663
PATEN  34.140278   57.392778 TBS    33.672500   56.891667 1 130 600 G663
TBS    33.672500   56.891667 RIBEN  33.483889   56.605556 1 130 600 G663
RIBEN  33.483889   56.605556 ALMUD  33.299444   56.328056 1 130 600 G663
ALMUD  33.299444   56.328056 ORSOK  32.917222   55.758889 1 130 600 G663
ORSOK  32.917222   55.758889 SOGOT  32.668889   55.394167 1 150 600 G663
SOGOT  32.668889   55.394167 DANEM  32.481667   55.121389 1 150 600 G663
DANEM  32.481667   55.121389 BOMIT  32.215833   54.737222 1 150 600 G663
BOMIT  32.215833   54.737222 YZD    31.897500   54.282500 1 150 600 G663
YZD    31.897500   54.282500 BONEG  31.473889   53.970833 1 170 600 G663
BONEG  31.473889   53.970833 DEDAK  30.933333   53.577500 1 170 600 G663
DEDAK  30.933333   53.577500 KINOT  30.535278   53.291944 1 170 600 G663
KINOT  30.535278   53.291944 SYZ    29.540000   52.588611 1 170 600 G663
SYZ    29.540000   52.588611 DASDO  28.900278   52.097500 1 130 600 G663
DASDO  28.900278   52.097500 DEPSU  28.569167   51.846389 1 130 600 G663
DEPSU  28.569167   51.846389 IMDAT  27.683333   51.183333 1 130 600 G663
