I
610 Version - Iran FIR custom (from AIP, generated)
  31.002778   51.702500 MIPUL
  29.692778   59.922500 MIRAD
  30.995278   56.490556 MIRER
  26.336944   54.903056 MIRIT
  35.705833   54.194167 MIRUR
  32.873889   54.480556 MITET
  36.093056   56.963333 MITUS
  35.987500   49.890000 MIVAK
  26.531667   54.325556 MIVUN
  27.255556   52.265556 MIXEM
  33.509444   57.445278 MIXIL
  26.735000   56.152222 MOBET
  27.737222   55.420278 MOBON
  36.655000   52.568611 MODEK
  37.823611   49.688056 MODIL
  34.020278   46.850833 MOKAB
  36.231111   59.650556 MSD
  38.462222   46.590278 MURID
  37.511944   48.055278 MURPU
  35.782222   56.441944 MUSEG
  31.976389   52.582778 MUXIS
  35.491667   52.696389 MUXOR
  36.165278   50.804444 NABAX
  27.199167   54.226111 NABEX
  28.275000   58.433611 NABOX
  32.243889   57.833889 NADSA
  26.414167   59.753889 NAGES
  35.105278   51.885556 NAGIN
  36.037222   51.348611 NAGMO
  32.170833   49.263611 NAGRO
  29.780556   53.899167 NALBI
  26.383611   55.526667 NANPA
  29.082500   49.532500 NANPI
  28.694444   56.641944 NANTO
  36.658056   60.323889 NAZAR
  31.984722   56.636111 NIVRA
  32.891667   54.980556 NODLA
  35.243056   46.939722 NOLTO
  33.295833   49.054167 NOTSA
  35.237778   59.509444 NOTSO
  26.568611   57.646944 NOVSU
  36.662778   51.464167 NSH
  34.761111   52.144444 OBRIX
  29.118333   61.288056 OBSEL
  26.992778   51.052500 OBTAR
  31.373056   51.878333 OBTUX
  32.513889   59.432222 ODBES
  35.780556   54.696111 ODKAT
  36.526667   56.117222 ODKOL
  35.387222   51.345000 ORBIN
  30.102222   57.915000 ORDAD
  36.269167   58.417778 ORDOB
  34.920000   49.154167 ORLOG
  37.700000   58.575000 ORPAB
  26.521944   55.335556 ORPEN
  26.075000   53.958333 ORSAR
  37.088056   55.185833 ORSEK
  32.917222   55.758889 ORSOK
  37.525833   45.692778 OTENA
  33.247500   56.826667 OTISO
  36.518889   61.165556 OTRUZ
  35.143611   51.207222 OXADU
  35.284167   51.403611 OXAVA
  39.578333   47.967222 PAD
  35.168333   61.135000 PAMTU
  38.744167   46.351389 PAPOK
  36.090833   46.865000 PAREX
  31.511389   56.566111 PARID
  35.555278   51.767500 PARIR
  36.191111   49.978056 PAROT
  39.630000   48.080000 PARSU
  32.784444   52.496389 PARUG
  26.270278   56.016389 PATAT
  34.140278   57.392778 PATEN
  28.935000   49.489722 PATIR
  35.444167   49.883611 PAVET
  37.034444   45.309444 PAVOD
  27.035000   56.196944 PAVON
  33.348889   46.088611 PAXAT
  34.936667   55.210278 PAXER
  36.284167   50.339167 PAXID
  35.140556   50.368333 PEDAR
  25.203056   59.358611 PEDEX
  28.988889   57.913056 PEDUK
  27.076111   52.254167 PEGET
  28.987500   60.861111 PEGOS
  33.484444   51.021667 PEKAM
  28.991389   59.872500 PEKES
  29.568611   61.135833 PIRAN
  27.360278   52.764444 PRG
  31.229444   56.975556 PURBO
  33.194444   53.949167 PURKI
  26.848889   53.845833 PURNA
  36.628611   53.809722 PUSAL
  37.800000   51.960000 PUTMA
  29.245556   60.399167 PUVMI
  35.911667   57.498611 RABAM
  38.801111   45.741944 RABDI
